Parameter,Estimate,Lower_95CI,Upper_95CI
mu_B,0.497477360229428,0.489344402242548,0.505610318216307
mu_P,0.405967303988534,0.398030456482862,0.413904151494207
mu_D,0.184183860134118,0.162463034291216,0.20590468597702
mu_C,0.553402244525608,0.544049928179445,0.562754560871771
a_BP,0.869629541176005,0.823974323967567,0.915284758384443
a_BD,0.953728325978968,0.903540650921214,1.00391600103672
a_BC,0.840986312523715,0.807353730661124,0.874618894386306
a_PB,0.928055962020149,0.922805450088233,0.933306473952065
a_PD,2.21386037255171,1.92022232202487,2.50749842307854
a_PC,0.57280510141434,0.52722241268133,0.618387790147349
a_DB,0.403597886395885,0.289513545665491,0.51768222712628
a_DP,0.000671320968352963,-0.132079426011335,0.133422067948041
a_DC,0.691659100448789,0.648558798558149,0.73475940233943
a_CB,0.915026136314051,0.909794205274858,0.920258067353244
a_CP,1.23945496686753,1.18267154303736,1.2962383906977
a_CD,0.000622084028396662,-0.221198157611872,0.222442325668665
